id,name,host_id,host_acceptance_rate,host_total_listings_count,neighbourhood,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value
19199379,Country Style.Boston Logan Airport & Train 3 bed.,9073339,100%,3,East Boston,42.3798,-71.0347,Entire rental unit,Entire home/apt,10,1,3,7,$283.00 ,1,1125,4.88,4.92,4.9,4.94,4.93,4.74,4.81
19308245,"Beacon Hill, J. Miller Flats - Studio Flat #9",814298,100%,128,Beacon Hill,42.35956,-71.07184,Entire rental unit,Entire home/apt,2,1,1,1,$256.00 ,1,365,4.57,4.74,4.73,4.73,4.55,4.97,4.5
19310183,Family Home + Near Downtown + Cool Backyard!,18275791,100%,5,East Boston,42.36645,-71.0298,Entire condo,Entire home/apt,7,1,3,5,$357.00 ,4,1125,4.94,4.87,4.93,4.99,4.99,4.84,4.86
19358947,Downtown- on the Boston Common,799496,100%,12,Downtown,42.35161,-71.06457,Entire rental unit,Entire home/apt,3,1,1,1,$342.00 ,29,1125,4.81,4.9,4.98,4.87,4.92,4.81,4.7
19364110,Large clean private room close to downtown,80570686,100%,4,Mission Hill,42.33209,-71.1015,Private room in home,Private room,4,1,1,2,$129.00 ,2,28,4.77,4.83,4.94,4.92,4.88,4.8,4.58
19366533,Boston step a train&bus  beautiful house,4546050,100%,4,West Roxbury,42.27971662,-71.1604324,Private room in home,Private room,1,1,1,1,$69.00 ,5,360,4.97,4.97,4.94,4.97,4.97,4.82,4.94
19373388,Classic New England apartment on MBTA Red line,116319471,100%,3,Dorchester,42.29031,-71.06681,Entire rental unit,Entire home/apt,5,1,2,3,$110.00 ,29,1125,4.69,4.86,4.74,4.92,4.9,4.54,4.69
19473060,“The Sanctuary Room” at The Perthshire House.,16441460,99%,13,Brighton,42.35397,-71.16775,Private room in rental unit,Private room,2,1,1,1,$112.00 ,1,1125,4.81,4.9,4.62,4.87,4.86,4.81,4.81
19484144,Quirky studio in Jamaica Plain,17844905,98%,2,Jamaica Plain,42.31387,-71.10864,Entire rental unit,Entire home/apt,2,1,0,2,$85.00 ,2,28,4.95,4.96,4.89,4.97,4.97,4.91,4.86
19540224,Free Parking at Newly Renovated 1 Bed Basement Unt,130680380,83%,48,Fenway,42.3494,-71.09566,Entire rental unit,Entire home/apt,4,1,1,2,$76.00 ,9,1124,4.67,4.85,4.75,4.81,4.78,4.95,4.61
19574477,Gorgeous Audubon Circle Studios (1),70331522,100%,4,Fenway,42.34633,-71.10317,Entire place,Entire home/apt,2,1,0,1,$185.00 ,30,1125,4.99,5,4.99,5,5,4.95,4.88
